name,tier,miniLvl,grouping,disambiguation,category,baseItem,baseInfluences,dimensions,retired,owned,altOwned,relic,updated,poedbUrl,poewikilink,foundBy,foundDateUTC,score,doubleCorrupted,enchanted,quality,grading,location,doubleInfluenced,sixLinked,whiteSocketCount
"Apep's Rage",3,53,T3,,Wand,"Omen Wand",,1x3,,1,,,,https://poedb.tw/us/Apeps_Rage,https://www.poewiki.net/wiki/Apep%27s_Rage,,,,,,,N/A,N/A,,,
"Apep's Slumber",4,62,League,,Shield,"Vaal Spirit Shield",,2x2,,1,,,,https://poedb.tw/us/Apeps_Slumber,https://www.poewiki.net/wiki/Apep%27s_Slumber,,,,,,,N/A,N/A,,,
"Apep's Supremacy",2,62,League,,Shield,"Vaal Spirit Shield",,2x2,,1,,,,https://poedb.tw/us/Apeps_Supremacy,https://www.poewiki.net/wiki/Apep%27s_Supremacy,,,,,,,N/A,N/A,,,
"Apex Mode",4,20,League,,Jewel,"Cobalt Jewel",,1x1,,1,,,,https://poedb.tw/us/Apex_Mode,https://www.poewiki.net/wiki/Apex_Mode,,,,,,,N/A,N/A,,,
"Arakaali's Fang",1,53,T1,,Dagger,"Fiend Dagger",,1x3,,1,,,,https://poedb.tw/us/Arakaalis_Fang,https://www.poewiki.net/wiki/Arakaali%27s_Fang,,,,,,,N/A,N/A,,,
"Araku Tiki",5,3,T5,,Amulet,"Coral Amulet",,1x1,,1,,,,https://poedb.tw/us/Araku_Tiki,https://www.poewiki.net/wiki/Araku_Tiki,,,,,,,N/A,N/A,,,
Arborix,2,62,Recipe,,Bow,"Assassin Bow",,2x4,,1,,,,https://poedb.tw/us/Arborix,https://www.poewiki.net/wiki/Arborix,,,,,,,N/A,N/A,,,
"Architect's Hand",4,45,League,,Gloves,"Ambush Mitts",,2x2,,1,,,,https://poedb.tw/us/Architects_Hand,https://www.poewiki.net/wiki/Architect%27s_Hand,,,,,,,N/A,N/A,,,
"Arn's Anguish",3,20,Pinnacle,,Belt,"Cloth Belt",,2x1,,1,,,,https://poedb.tw/us/Arns_Anguish,https://www.poewiki.net/wiki/Arn%27s_Anguish,,,,,,,N/A,N/A,,,
"Ascent From Flesh",4,44,T4,,Belt,"Chain Belt",,2x1,,1,,,,https://poedb.tw/us/Ascent_From_Flesh,https://www.poewiki.net/wiki/Ascent_From_Flesh,,,,,,,N/A,N/A,,,
"Asenath's Gentle Touch",3,75,T3,,Gloves,"Silk Gloves",,2x2,,1,,,,https://poedb.tw/us/Asenaths_Gentle_Touch,https://www.poewiki.net/wiki/Asenath%27s_Gentle_Touch,,,,,,,N/A,N/A,,,
"Asenath's Mark",2,8,T2,,Helmet,"Iron Circlet",,2x2,,1,,,,https://poedb.tw/us/Asenaths_Mark,https://www.poewiki.net/wiki/Asenath%27s_Mark,,,,,,,N/A,N/A,,,
Ashcaller,4,12,T4,,Wand,"Carved Wand",,1x3,,1,,,,https://poedb.tw/us/Ashcaller,https://www.poewiki.net/wiki/Ashcaller,,,,,,,N/A,N/A,,,
"Ashes of the Stars",2,25,Uber,,Amulet,"Onyx Amulet",,1x1,,1,,,,https://poedb.tw/us/Ashes_of_the_Stars,https://www.poewiki.net/wiki/Ashes_of_the_Stars,,,,,,,N/A,N/A,,,
Ashrend,4,17,T4,,"Body Armour","Buckskin Tunic",,2x3,,1,,,,https://poedb.tw/us/Ashrend,https://www.poewiki.net/wiki/Ashrend,,,,,,,N/A,N/A,,,
"Asphyxia's Wrath",5,20,T5,,Quiver,"Feathered Arrow Quiver",,2x3,,1,,,,https://poedb.tw/us/Asphyxias_Wrath,https://www.poewiki.net/wiki/Asphyxia%27s_Wrath,,,,,,,N/A,N/A,,,
Assailum,3,80,T3,,Helmet,"Sinner Tricorne",,2x2,,1,,,,https://poedb.tw/us/Assailum,https://www.poewiki.net/wiki/Assailum,,,,,,,N/A,N/A,,,
"Astral Projector",2,75,T2,,Ring,"Topaz Ring",,1x1,,1,,,,https://poedb.tw/us/Astral_Projector,https://www.poewiki.net/wiki/Astral_Projector,,,,,,,N/A,N/A,,,
Astramentis,2,25,T2,,Amulet,"Onyx Amulet",,1x1,,1,,,,https://poedb.tw/us/Astramentis,https://www.poewiki.net/wiki/Astramentis,,,,,,,N/A,N/A,,,
"Atziri's Acuity",3,63,Boss,,Gloves,"Vaal Gauntlets",,2x2,,1,,,,https://poedb.tw/us/Atziris_Acuity,https://www.poewiki.net/wiki/Atziri%27s_Acuity,,,,,,,N/A,N/A,,,
"Atziri's Disfavour",0,64,Boss,,Axe,"Vaal Axe",,2x4,,1,,,,https://poedb.tw/us/Atziris_Disfavour,https://www.poewiki.net/wiki/Atziri%27s_Disfavour,,,,,,,N/A,N/A,,,
"Atziri's Foible",2,16,T2,,Amulet,"Paua Amulet",,1x1,,1,,,,https://poedb.tw/us/Atziris_Foible,https://www.poewiki.net/wiki/Atziri%27s_Foible,,,,,,,N/A,N/A,,,
"Atziri's Promise",4,18,Boss,,Flask,"Amethyst Flask",,1x2,,1,,,,https://poedb.tw/us/Atziris_Promise,https://www.poewiki.net/wiki/Atziri%27s_Promise,,,,,,,N/A,N/A,,,
"Atziri's Reflection",2,54,Boss,,Shield,"Golden Buckler",,2x2,,1,,,,https://poedb.tw/us/Atziris_Reflection,https://www.poewiki.net/wiki/Atziri%27s_Reflection,,,,,,,N/A,N/A,,,
"Atziri's Reign",3,20,Vaal_Orb,,Jewel,"Crimson Jewel",,1x1,,1,,,,https://poedb.tw/us/Atziris_Reign,https://www.poewiki.net/wiki/Atziri%27s_Reign,,,,,,,N/A,N/A,,,
"Atziri's Rule",3,68,Boss,,Staff,"Judgement Staff",,2x4,,1,,,,https://poedb.tw/us/Atziris_Rule,https://www.poewiki.net/wiki/Atziri%27s_Rule,,,,,,,N/A,N/A,,,
"Atziri's Splendour",2,72,Boss,,"Body Armour","Sacrificial Garb",,2x3,,1,,,,https://poedb.tw/us/Atziris_Splendour,https://www.poewiki.net/wiki/Atziri%27s_Splendour,,,,,,,N/A,N/A,,,
"Atziri's Step",4,69,Boss,,Boots,"Slink Boots",,2x2,,1,,,,https://poedb.tw/us/Atziris_Step,https://www.poewiki.net/wiki/Atziri%27s_Step,,,,,,,N/A,N/A,,,
"Augmented Distant Memory",3,81,Boss,,Map,"Synthesised Map",,1x1,,1,,,,https://poedb.tw/us/Augmented_Distant_Memory,https://www.poewiki.net/wiki/Augmented_Distant_Memory,,,,,,,N/A,N/A,,,
Augyre,3,77,T3,,Mace,"Void Sceptre",,2x3,,1,,,,https://poedb.tw/us/Augyre,https://www.poewiki.net/wiki/Augyre,,,,,,,N/A,N/A,,,
"Aukuna's Will",4,31,T4,,Gloves,"Clasped Mitts",,2x2,,1,,,,https://poedb.tw/us/Aukunas_Will,https://www.poewiki.net/wiki/Aukuna%27s_Will,,,,,,,N/A,N/A,,,
"Aul's Uprising",2,25,League,,Amulet,"Onyx Amulet",,1x1,,1,,,,https://poedb.tw/us/Auls_Uprising,https://www.poewiki.net/wiki/Aul%27s_Uprising,,,,,,,N/A,N/A,,,
Aurseize,3,36,T3,,Gloves,"Steelscale Gauntlets",,2x2,,1,,,,https://poedb.tw/us/Aurseize,https://www.poewiki.net/wiki/Aurseize,,,,,,,N/A,N/A,,,
Aurumvorax,5,17,T5,,Sword,"Basket Rapier",,1x4,,1,,,,https://poedb.tw/us/Aurumvorax,https://www.poewiki.net/wiki/Aurumvorax,,,,,,,N/A,N/A,,,
Auxium,3,73,T3,,Belt,"Crystal Belt",,2x1,,1,,,,https://poedb.tw/us/Auxium,https://www.poewiki.net/wiki/Auxium,,,,,,,N/A,N/A,,,
"Axiom Perpetuum",5,10,T5,,Mace,"Bronze Sceptre",,2x3,,1,,,,https://poedb.tw/us/Axiom_Perpetuum,https://www.poewiki.net/wiki/Axiom_Perpetuum,,,,,,,N/A,N/A,,,
"Badge of the Brotherhood",2,68,T2,,Amulet,"Turquoise Amulet",,1x1,,1,,,,https://poedb.tw/us/Badge_of_the_Brotherhood,https://www.poewiki.net/wiki/Badge_of_the_Brotherhood,,,,,,,N/A,N/A,,,
Balefire,5,60,T5,,Mace,"Opal Sceptre",,2x3,,1,,,,https://poedb.tw/us/Balefire,https://www.poewiki.net/wiki/Balefire,,,,,,,N/A,N/A,,,
"Bated Breath",5,22,T5,,Belt,"Chain Belt",,2x1,,1,,,,https://poedb.tw/us/Bated_Breath,https://www.poewiki.net/wiki/Bated_Breath,,,,,,,N/A,N/A,,,
"Beacon of Madness",3,75,T3,"Double Damage",Boots,"Two-Toned Boots",,2x2,,1,,,,https://poedb.tw/us/Beacon_of_Madness,https://www.poewiki.net/wiki/Beacon_of_Madness,,,,,,,N/A,N/A,,,
"Beacon of Madness",3,75,T3,Elemental,Boots,"Two-Toned Boots",,2x2,,1,,,,https://poedb.tw/us/Beacon_of_Madness,https://www.poewiki.net/wiki/Beacon_of_Madness,,,,,,,N/A,N/A,,,
"Beacon of Madness",3,75,T3,Chaos,Boots,"Two-Toned Boots",,2x2,,1,,,,https://poedb.tw/us/Beacon_of_Madness,https://www.poewiki.net/wiki/Beacon_of_Madness,,,,,,,N/A,N/A,,,
"Bear's Girdle",4,10,League,,Belt,"Leather Belt",,2x1,,1,,,,https://poedb.tw/us/Bears_Girdle,https://www.poewiki.net/wiki/Bear%27s_Girdle,,,,,,,N/A,N/A,,,
"Belly of the Beast",3,46,T3,,"Body Armour","Full Wyrmscale",,2x3,,1,,,,https://poedb.tw/us/Belly_of_the_Beast,https://www.poewiki.net/wiki/Belly_of_the_Beast,,,,,,,N/A,N/A,,,
"Belt of the Deceiver",4,20,T4,,Belt,"Heavy Belt",,2x1,,1,,,,https://poedb.tw/us/Belt_of_the_Deceiver,https://www.poewiki.net/wiki/Belt_of_the_Deceiver,,,,,,,N/A,N/A,,,
"Beltimber Blade",3,77,T3,,Sword,"Eternal Sword",,2x3,,1,,,,https://poedb.tw/us/Beltimber_Blade,https://www.poewiki.net/wiki/Beltimber_Blade,,,,,,,N/A,N/A,,,
"Berek's Grip",4,20,T4,,Ring,"Two-Stone Ring",,1x1,,1,,,,https://poedb.tw/us/Bereks_Grip,https://www.poewiki.net/wiki/Berek%27s_Grip,,,,,,,N/A,N/A,,,
"Berek's Pass",4,20,T4,,Ring,"Two-Stone Ring",,1x1,,1,,,,https://poedb.tw/us/Bereks_Pass,https://www.poewiki.net/wiki/Berek%27s_Pass,,,,,,,N/A,N/A,,,
"Berek's Respite",3,20,T3,,Ring,"Two-Stone Ring",,1x1,,1,,,,https://poedb.tw/us/Bereks_Respite,https://www.poewiki.net/wiki/Berek%27s_Respite,,,,,,,N/A,N/A,,,
"Bino's Kitchen Knife",0,58,T0,,Dagger,"Slaughter Knife",,1x3,,1,,,,https://poedb.tw/us/Binos_Kitchen_Knife,https://www.poewiki.net/wiki/Bino%27s_Kitchen_Knife,,,,,,,N/A,N/A,,,
"Bisco's Leash",3,30,T3,,Belt,"Heavy Belt",,2x1,,1,,,,https://poedb.tw/us/Biscos_Leash,https://www.poewiki.net/wiki/Bisco%27s_Leash,,,,,,,N/A,N/A,,,
"Bitterbind Point",3,68,League,,Shield,"Titanium Spirit Shield",,2x2,,1,,,,https://poedb.tw/us/Bitterbind_Point,https://www.poewiki.net/wiki/Bitterbind_Point,,,,,,,N/A,N/A,,,
Bitterdream,3,32,T3,,Mace,"Shadow Sceptre",,2x3,,1,,,,https://poedb.tw/us/Bitterdream,https://www.poewiki.net/wiki/Bitterdream,,,,,,,N/A,N/A,,,
"Black Sun Crest",5,51,T5,,Helmet,"Lacquered Helmet",,2x2,,1,,,,https://poedb.tw/us/Black_Sun_Crest,https://www.poewiki.net/wiki/Black_Sun_Crest,,,,,,,N/A,N/A,,,
"Black Zenith",3,70,Boss,,Gloves,"Fingerless Silk Gloves",,2x2,,1,,,,https://poedb.tw/us/Black_Zenith,https://www.poewiki.net/wiki/Black_Zenith,,,,,,,N/A,N/A,,,
Blackflame,2,38,League,,Ring,"Amethyst Ring",,1x1,,1,,,,https://poedb.tw/us/Blackflame,https://www.poewiki.net/wiki/Blackflame,,,,,,,N/A,N/A,,,
Blackgleam,5,2,T5,,Quiver,"Blazing Arrow Quiver",,2x3,,1,,,,https://poedb.tw/us/Blackgleam,https://www.poewiki.net/wiki/Blackgleam,,,,,,,N/A,N/A,,,
Blackheart,5,2,T5,,Ring,"Iron Ring",,1x1,,1,,,,https://poedb.tw/us/Blackheart,https://www.poewiki.net/wiki/Blackheart,,,,,,,N/A,N/A,,,
"Blasphemer's Grasp",3,68,Pinnacle,,Gloves,"Assassin's Mitts",elder,2x2,,1,,,,https://poedb.tw/us/Blasphemers_Grasp,https://www.poewiki.net/wiki/Blasphemer%27s_Grasp,,,,,,,N/A,N/A,,,
Blightwell,4,28,T4,,Amulet,"Clutching Talisman",,1x1,,1,,,,https://poedb.tw/us/Blightwell,https://www.poewiki.net/wiki/Blightwell,,,,,,,N/A,N/A,,,
"Blood of Corruption",3,7,Vaal_Orb,,Amulet,"Amber Amulet",,1x1,,1,,,,https://poedb.tw/us/Blood_of_Corruption,https://www.poewiki.net/wiki/Blood_of_Corruption,,,,,,,N/A,N/A,,,
"Blood of the Karui",4,50,T4,,Flask,"Sanctified Life Flask",,1x2,,1,,,,https://poedb.tw/us/Blood_of_the_Karui,https://www.poewiki.net/wiki/Blood_of_the_Karui,,,,,,,N/A,N/A,,,
"Blood Price",3,40,T3,,Helmet,"Reaver Helmet",,2x2,,1,,,,https://poedb.tw/us/Blood_Price,https://www.poewiki.net/wiki/Blood_Price,,,,,,,N/A,N/A,,,
Bloodbond,4,35,T4,,"Body Armour","Bone Armour",,2x3,,1,,,,https://poedb.tw/us/Bloodbond,https://www.poewiki.net/wiki/Bloodbond,,,,,,,N/A,N/A,,,
Bloodgrip,5,74,T5,,Amulet,"Marble Amulet",,1x1,,1,,,,https://poedb.tw/us/Bloodgrip,https://www.poewiki.net/wiki/Bloodgrip,,,,,,,N/A,N/A,,,
Bloodnotch,2,20,T2,,Jewel,"Crimson Jewel",,1x1,,1,,,,https://poedb.tw/us/Bloodnotch,https://www.poewiki.net/wiki/Bloodnotch,,,,,,,N/A,N/A,,,
Bloodplay,5,15,T5,,Dagger,Stiletto,,1x3,,1,,,,https://poedb.tw/us/Bloodplay,https://www.poewiki.net/wiki/Bloodplay,,,,,,,N/A,N/A,,,
Bloodseeker,0,62,T0,,Claw,"Hellion's Paw",,2x2,,1,,,,https://poedb.tw/us/Bloodseeker,https://www.poewiki.net/wiki/Bloodseeker,,,,,,,N/A,N/A,,,
"Bloodsoaked Medallion",4,49,T4,,Amulet,"Amber Amulet",,1x1,,1,,,,https://poedb.tw/us/Bloodsoaked_Medallion,https://www.poewiki.net/wiki/Bloodsoaked_Medallion,,,,,,,N/A,N/A,,,
Blunderbore,3,62,T3,,"Body Armour","Astral Plate",,2x3,,1,,,,https://poedb.tw/us/Blunderbore,https://www.poewiki.net/wiki/Blunderbore,,,,,,,N/A,N/A,,,
"Bones of Ullr",5,22,T5,,Boots,"Silk Slippers",,2x2,,1,,,,https://poedb.tw/us/Bones_of_Ullr,https://www.poewiki.net/wiki/Bones_of_Ullr,,,,,,,N/A,N/A,,,
"Bottled Faith",2,27,Pinnacle,,Flask,"Sulphur Flask",,1x2,,1,,,,https://poedb.tw/us/Bottled_Faith,https://www.poewiki.net/wiki/Bottled_Faith,,,,,,,N/A,N/A,,,
"Bound Fate",3,49,T3,,Belt,"Cloth Belt",,2x1,,1,,,,https://poedb.tw/us/Bound_Fate,https://www.poewiki.net/wiki/Bound_Fate,,,,,,,N/A,N/A,,,
"Brain Rattler",3,77,T3,,Mace,Meatgrinder,,2x4,,1,,,,https://poedb.tw/us/Brain_Rattler,https://www.poewiki.net/wiki/Brain_Rattler,,,,,,,N/A,N/A,,,
Bramblejack,4,1,T4,,"Body Armour","Plate Vest",,2x3,,1,,,,https://poedb.tw/us/Bramblejack,https://www.poewiki.net/wiki/Bramblejack,,,,,,,N/A,N/A,,,
"Breath of the Council",4,66,T4,,Mace,"Carnal Sceptre",,2x3,,1,,,,https://poedb.tw/us/Breath_of_the_Council,https://www.poewiki.net/wiki/Breath_of_the_Council,,,,,,,N/A,N/A,,,
Breathstealer,3,59,League,,Gloves,"Hydrascale Gauntlets",,2x2,,1,,,,https://poedb.tw/us/Breathstealer,https://www.poewiki.net/wiki/Breathstealer,,,,,,,N/A,N/A,,,
Brightbeak,5,20,T5,,Mace,"War Hammer",,2x3,,1,,,,https://poedb.tw/us/Brightbeak,https://www.poewiki.net/wiki/Brightbeak,,,,,,,N/A,N/A,,,
"Brinerot Flag",3,23,League,,Shield,"Tarnished Spirit Shield",,2x2,,1,,,,https://poedb.tw/us/Brinerot_Flag,https://www.poewiki.net/wiki/Brinerot_Flag,,,,,,,N/A,N/A,,,
"Brinerot Mark",3,55,League,,Ring,"Unset Ring",,1x1,,1,,,,https://poedb.tw/us/Brinerot_Mark,https://www.poewiki.net/wiki/Brinerot_Mark,,,,,,,N/A,N/A,,,
"Brinerot Whalers",3,41,League,,Boots,"Trapper Boots",,2x2,,1,,,,https://poedb.tw/us/Brinerot_Whalers,https://www.poewiki.net/wiki/Brinerot_Whalers,,,,,,,N/A,N/A,,,
Briskwrap,5,32,T5,,"Body Armour","Sun Leather",,2x3,,1,,,,https://poedb.tw/us/Briskwrap,https://www.poewiki.net/wiki/Briskwrap,,,,,,,N/A,N/A,,,
"Broken Faith",2,68,League,,Shield,"Archon Kite Shield",,2x3,,1,,,,https://poedb.tw/us/Broken_Faith,https://www.poewiki.net/wiki/Broken_Faith,,,,,,,N/A,N/A,,,
"Bronn's Lithe",4,53,T4,,"Body Armour","Cutthroat's Garb",,2x3,,1,,,,https://poedb.tw/us/Bronns_Lithe,https://www.poewiki.net/wiki/Bronn%27s_Lithe,,,,,,,N/A,N/A,,,
"Brutal Restraint",2,68,League,,Jewel,"Timeless Jewel",,1x1,,1,,,,https://poedb.tw/us/Brutal_Restraint,https://www.poewiki.net/wiki/Brutal_Restraint,,,,,,,N/A,N/A,,,
"Brute Force Solution",3,20,Vaal_Orb,,Jewel,"Cobalt Jewel",,1x1,,1,,,,https://poedb.tw/us/Brute_Force_Solution,https://www.poewiki.net/wiki/Brute_Force_Solution,,,,,,,N/A,N/A,,,
"Brutus' Lead Sprinkler",3,28,T3,,Mace,"Ritual Sceptre",,2x3,,1,,,,https://poedb.tw/us/Brutus_Lead_Sprinkler,https://www.poewiki.net/wiki/Brutus%27_Lead_Sprinkler,,,,,,,N/A,N/A,,,
"Bubonic Trail",3,69,League,,Boots,"Murder Boots",,2x2,,1,,,,https://poedb.tw/us/Bubonic_Trail,https://www.poewiki.net/wiki/Bubonic_Trail,,,,,,,N/A,N/A,,,
"Cadigan's Crown",3,68,League,,Helmet,"Runic Crown",,2x2,,1,,,,https://poedb.tw/us/Cadigans_Crown,https://www.poewiki.net/wiki/Cadigan%27s_Crown,,,,,,,N/A,N/A,,,
"Caer Blaidd, Wolfpack's Den",5,72,T5,,Map,"Underground River Map",,1x1,,1,,,,https://poedb.tw/us/Caer_Blaidd%2C_Wolfpacks_Den,"https://www.poewiki.net/wiki/Caer_Blaidd,_Wolfpack%27s_Den",,,,,,,N/A,N/A,,,
"Calamitous Visions",3,1,League,,Jewel,"Small Cluster Jewel",,1x1,,1,,,,https://poedb.tw/us/Calamitous_Visions,https://www.poewiki.net/wiki/Calamitous_Visions,,,,,,,N/A,N/A,,,
"Call of the Brotherhood",3,40,T3,,Ring,"Two-Stone Ring",,1x1,,1,,,,https://poedb.tw/us/Call_of_the_Brotherhood,https://www.poewiki.net/wiki/Call_of_the_Brotherhood,,,,,,,N/A,N/A,,,
"Call of the Void",3,8,Uber,,Ring,"Sapphire Ring",eldershaper,1x1,,1,,,,https://poedb.tw/us/Call_of_the_Void,https://www.poewiki.net/wiki/Call_of_the_Void,,,,,,,N/A,N/A,,,
"Callinellus Malleus",5,66,T5,,Mace,"Auric Mace",,2x3,,1,,,,https://poedb.tw/us/Callinellus_Malleus,https://www.poewiki.net/wiki/Callinellus_Malleus,,,,,,,N/A,N/A,,,
