name,tier,grouping,disambiguation,category,baseItem,baseInfluences,dimensions,retired,owned,altOwned,relic,updated,poedbUrl,poewikilink,foundBy,foundDateUTC,score,doubleCorrupted,enchanted,quality,grading,location,doubleInfluenced,sixLinked,whiteSocketCount
"Ahkeli's Mountain",,League,,Ring,"Ruby Ring",,1x1,,0,,,,https://poedb.tw/us/Ahkelis_Mountain,https://www.poewiki.net/wiki/Ahkeli%27s_Mountain,,,,,,,,N/A,,,
"Ahkeli's Valley",,League,,Ring,"Ruby Ring",,1x1,,0,,,,https://poedb.tw/us/Ahkelis_Valley,https://www.poewiki.net/wiki/Ahkeli%27s_Valley,,,,,,,,N/A,,,
"Ahn's Contempt",4,T4,,Helmet,"Praetor Crown",,2x2,,0,,,,https://poedb.tw/us/Ahns_Contempt,https://www.poewiki.net/wiki/Ahn%27s_Contempt,,,,,,,,N/A,,,
"Ahn's Heritage",4,T4,,Shield,"Colossal Tower Shield",,2x4,,0,,,,https://poedb.tw/us/Ahns_Heritage,https://www.poewiki.net/wiki/Ahn%27s_Heritage,,,,,,,,N/A,,,
"Ahn's Might",4,T4,,Sword,"Midnight Blade",,2x3,,0,,,,https://poedb.tw/us/Ahns_Might,https://www.poewiki.net/wiki/Ahn%27s_Might,,,,,,,,N/A,,,
"Ahuana's Bite",4,T4,,Quiver,"Sharktooth Arrow Quiver",,2x3,,0,,,,https://poedb.tw/us/Ahuanas_Bite,https://www.poewiki.net/wiki/Ahuana%27s_Bite,,,,,,,,N/A,,,
"Akoya's Gaze",3,T3,,Helmet,"Regicide Mask",,2x2,,0,,,,https://poedb.tw/us/Akoyas_Gaze,https://www.poewiki.net/wiki/Akoya%27s_Gaze,,,,,,,,N/A,,,
"Al Dhih",4,T4,,Claw,"Timeworn Claw",,2x2,,0,,,,https://poedb.tw/us/Al_Dhih,https://www.poewiki.net/wiki/Al_Dhih,,,,,,,,N/A,,,
"Alberon's Warpath",4,T4,,Boots,"Soldier Boots",,2x2,,0,,,,https://poedb.tw/us/Alberons_Warpath,https://www.poewiki.net/wiki/Alberon%27s_Warpath,,,,,,,,N/A,,,
"Algor Mortis",4,T4,,Gloves,"Carnal Mitts",,2x2,,0,,,,https://poedb.tw/us/Algor_Mortis,https://www.poewiki.net/wiki/Algor_Mortis,,,,,,,,N/A,,,
Allelopathy,3,T3,,Gloves,"Satin Gloves",,2x2,,0,,,,https://poedb.tw/us/Allelopathy,https://www.poewiki.net/wiki/Allelopathy,,,,,,,,N/A,,,
Allure,5,T5,,Claw,"Vaal Claw",,2x2,,0,,,,https://poedb.tw/us/Allure,https://www.poewiki.net/wiki/Allure,,,,,,,,N/A,,,
"Alpha's Howl",3,T3,,Helmet,"Sinner Tricorne",,2x2,,0,,,,https://poedb.tw/us/Alphas_Howl,https://www.poewiki.net/wiki/Alpha%27s_Howl,,,,,,,,N/A,,,
"Altered Distant Memory",,Boss,,Map,"Synthesised Map",,1x1,,0,,,,https://poedb.tw/us/Altered_Distant_Memory,https://www.poewiki.net/wiki/Altered_Distant_Memory,,,,,,,,N/A,,,
"Amanamu's Gaze",,League,,Jewel,"Ghastly Eye Jewel",,1x1,,0,,,,https://poedb.tw/us/Amanamus_Gaze,https://www.poewiki.net/wiki/Amanamu%27s_Gaze,,,,,,,,N/A,,,
"Ambu's Charge",4,T4,,"Body Armour","Crusader Chainmail",,2x3,,0,,,,https://poedb.tw/us/Ambus_Charge,https://www.poewiki.net/wiki/Ambu%27s_Charge,,,,,,,,N/A,,,
Anathema,2,T2,,Ring,"Moonstone Ring",,1x1,,0,,,,https://poedb.tw/us/Anathema,https://www.poewiki.net/wiki/Anathema,,,,,,,,N/A,,,
"Ancestral Vision",2,T2,,Jewel,"Viridian Jewel",,1x1,,0,,,,https://poedb.tw/us/Ancestral_Vision,https://www.poewiki.net/wiki/Ancestral_Vision,,,,,,,,N/A,,,
"Ancient Skull",4,T4,,Helmet,"Bone Helmet",,2x2,,0,,,,https://poedb.tw/us/Ancient_Skull,https://www.poewiki.net/wiki/Ancient_Skull,,,,,,,,N/A,,,
Andvarius,3,T3,,Ring,"Gold Ring",,1x1,,0,,,,https://poedb.tw/us/Andvarius,https://www.poewiki.net/wiki/Andvarius,,,,,,,,N/A,,,
"Angler's Plait",,Limited,,Ring,"Unset Ring",,1x1,,0,,,,https://poedb.tw/us/Anglers_Plait,https://www.poewiki.net/wiki/Angler%27s_Plait,,,,,,,,N/A,,,
"Annihilation's Approach",,Uber,,Boots,"Dragonscale Boots",,2x2,,0,,,,https://poedb.tw/us/Annihilations_Approach,https://www.poewiki.net/wiki/Annihilation%27s_Approach,,,,,,,,N/A,,,
"Apep's Rage",3,T3,,Wand,"Omen Wand",,1x3,,0,,,,https://poedb.tw/us/Apeps_Rage,https://www.poewiki.net/wiki/Apep%27s_Rage,,,,,,,,N/A,,,
"Apep's Slumber",,League,,Shield,"Vaal Spirit Shield",,2x2,,0,,,,https://poedb.tw/us/Apeps_Slumber,https://www.poewiki.net/wiki/Apep%27s_Slumber,,,,,,,,N/A,,,
"Apep's Supremacy",,League,,Shield,"Vaal Spirit Shield",,2x2,,0,,,,https://poedb.tw/us/Apeps_Supremacy,https://www.poewiki.net/wiki/Apep%27s_Supremacy,,,,,,,,N/A,,,
"Apex Mode",,League,,Jewel,"Cobalt Jewel",,1x1,,0,,,,https://poedb.tw/us/Apex_Mode,https://www.poewiki.net/wiki/Apex_Mode,,,,,,,,N/A,,,
"Arakaali's Fang",1,T1,,Dagger,"Fiend Dagger",,1x3,,0,,,,https://poedb.tw/us/Arakaalis_Fang,https://www.poewiki.net/wiki/Arakaali%27s_Fang,,,,,,,,N/A,,,
"Araku Tiki",5,T5,,Amulet,"Coral Amulet",,1x1,,0,,,,https://poedb.tw/us/Araku_Tiki,https://www.poewiki.net/wiki/Araku_Tiki,,,,,,,,N/A,,,
Arborix,,Recipe,,Bow,"Assassin Bow",,2x4,,0,,,,https://poedb.tw/us/Arborix,https://www.poewiki.net/wiki/Arborix,,,,,,,,N/A,,,
"Architect's Hand",,League,,Gloves,"Ambush Mitts",,2x2,,0,,,,https://poedb.tw/us/Architects_Hand,https://www.poewiki.net/wiki/Architect%27s_Hand,,,,,,,,N/A,,,
"Arn's Anguish",,Pinnacle,,Belt,"Cloth Belt",,2x1,,0,,,,https://poedb.tw/us/Arns_Anguish,https://www.poewiki.net/wiki/Arn%27s_Anguish,,,,,,,,N/A,,,
"Ascent From Flesh",4,T4,,Belt,"Chain Belt",,2x1,,0,,,,https://poedb.tw/us/Ascent_From_Flesh,https://www.poewiki.net/wiki/Ascent_From_Flesh,,,,,,,,N/A,,,
"Asenath's Gentle Touch",3,T3,,Gloves,"Silk Gloves",,2x2,,0,,,,https://poedb.tw/us/Asenaths_Gentle_Touch,https://www.poewiki.net/wiki/Asenath%27s_Gentle_Touch,,,,,,,,N/A,,,
"Asenath's Mark",2,T2,,Helmet,"Iron Circlet",,2x2,,0,,,,https://poedb.tw/us/Asenaths_Mark,https://www.poewiki.net/wiki/Asenath%27s_Mark,,,,,,,,N/A,,,
Ashcaller,4,T4,,Wand,"Carved Wand",,1x3,,0,,,,https://poedb.tw/us/Ashcaller,https://www.poewiki.net/wiki/Ashcaller,,,,,,,,N/A,,,
"Ashes of the Stars",,Pinnacle,,Amulet,"Onyx Amulet",,1x1,,0,,,,https://poedb.tw/us/Ashes_of_the_Stars,https://www.poewiki.net/wiki/Ashes_of_the_Stars,,,,,,,,N/A,,,
Ashrend,4,T4,,"Body Armour","Buckskin Tunic",,2x3,,0,,,,https://poedb.tw/us/Ashrend,https://www.poewiki.net/wiki/Ashrend,,,,,,,,N/A,,,
"Asphyxia's Wrath",5,T5,,Quiver,"Feathered Arrow Quiver",,2x3,,0,,,,https://poedb.tw/us/Asphyxias_Wrath,https://www.poewiki.net/wiki/Asphyxia%27s_Wrath,,,,,,,,N/A,,,
Assailum,3,T3,,Helmet,"Sinner Tricorne",,2x2,,0,,,,https://poedb.tw/us/Assailum,https://www.poewiki.net/wiki/Assailum,,,,,,,,N/A,,,
"Astral Projector",2,T2,,Ring,"Topaz Ring",,1x1,,0,,,,https://poedb.tw/us/Astral_Projector,https://www.poewiki.net/wiki/Astral_Projector,,,,,,,,N/A,,,
Astramentis,2,T2,,Amulet,"Onyx Amulet",,1x1,,0,,,,https://poedb.tw/us/Astramentis,https://www.poewiki.net/wiki/Astramentis,,,,,,,,N/A,,,
"Atziri's Acuity",,Boss,,Gloves,"Vaal Gauntlets",,2x2,,0,,,,https://poedb.tw/us/Atziris_Acuity,https://www.poewiki.net/wiki/Atziri%27s_Acuity,,,,,,,,N/A,,,
"Atziri's Disfavour",,Boss,,Axe,"Vaal Axe",,2x4,,0,,,,https://poedb.tw/us/Atziris_Disfavour,https://www.poewiki.net/wiki/Atziri%27s_Disfavour,,,,,,,,N/A,,,
"Atziri's Foible",2,T2,,Amulet,"Paua Amulet",,1x1,,0,,,,https://poedb.tw/us/Atziris_Foible,https://www.poewiki.net/wiki/Atziri%27s_Foible,,,,,,,,N/A,,,
"Atziri's Promise",,Boss,,Flask,"Amethyst Flask",,1x2,,0,,,,https://poedb.tw/us/Atziris_Promise,https://www.poewiki.net/wiki/Atziri%27s_Promise,,,,,,,,N/A,,,
"Atziri's Reflection",,Boss,,Shield,"Golden Buckler",,2x2,,0,,,,https://poedb.tw/us/Atziris_Reflection,https://www.poewiki.net/wiki/Atziri%27s_Reflection,,,,,,,,N/A,,,
"Atziri's Reign",,Vaal_Orb,,Jewel,"Crimson Jewel",,1x1,,0,,,,https://poedb.tw/us/Atziris_Reign,https://www.poewiki.net/wiki/Atziri%27s_Reign,,,,,,,,N/A,,,
"Atziri's Rule",,Boss,,Staff,"Judgement Staff",,2x4,,0,,,,https://poedb.tw/us/Atziris_Rule,https://www.poewiki.net/wiki/Atziri%27s_Rule,,,,,,,,N/A,,,
"Atziri's Splendour",,Boss,,"Body Armour","Sacrificial Garb",,2x3,,0,,,,https://poedb.tw/us/Atziris_Splendour,https://www.poewiki.net/wiki/Atziri%27s_Splendour,,,,,,,,N/A,,,
"Atziri's Step",,Boss,,Boots,"Slink Boots",,2x2,,0,,,,https://poedb.tw/us/Atziris_Step,https://www.poewiki.net/wiki/Atziri%27s_Step,,,,,,,,N/A,,,
"Augmented Distant Memory",,Boss,,Map,"Synthesised Map",,1x1,,0,,,,https://poedb.tw/us/Augmented_Distant_Memory,https://www.poewiki.net/wiki/Augmented_Distant_Memory,,,,,,,,N/A,,,
Augyre,3,T3,,Mace,"Void Sceptre",,2x3,,0,,,,https://poedb.tw/us/Augyre,https://www.poewiki.net/wiki/Augyre,,,,,,,,N/A,,,
"Aukuna's Will",4,T4,,Gloves,"Clasped Mitts",,2x2,,0,,,,https://poedb.tw/us/Aukunas_Will,https://www.poewiki.net/wiki/Aukuna%27s_Will,,,,,,,,N/A,,,
"Aul's Uprising",,League,,Amulet,"Onyx Amulet",,1x1,,0,,,,https://poedb.tw/us/Auls_Uprising,https://www.poewiki.net/wiki/Aul%27s_Uprising,,,,,,,,N/A,,,
Aurseize,3,T3,,Gloves,"Steelscale Gauntlets",,2x2,,0,,,,https://poedb.tw/us/Aurseize,https://www.poewiki.net/wiki/Aurseize,,,,,,,,N/A,,,
Aurumvorax,5,T5,,Sword,"Basket Rapier",,1x4,,0,,,,https://poedb.tw/us/Aurumvorax,https://www.poewiki.net/wiki/Aurumvorax,,,,,,,,N/A,,,
Auxium,3,T3,,Belt,"Crystal Belt",,2x1,,0,,,,https://poedb.tw/us/Auxium,https://www.poewiki.net/wiki/Auxium,,,,,,,,N/A,,,
"Axiom Perpetuum",5,T5,,Mace,"Bronze Sceptre",,2x3,,0,,,,https://poedb.tw/us/Axiom_Perpetuum,https://www.poewiki.net/wiki/Axiom_Perpetuum,,,,,,,,N/A,,,
"Badge of the Brotherhood",2,T2,,Amulet,"Turquoise Amulet",,1x1,,0,,,,https://poedb.tw/us/Badge_of_the_Brotherhood,https://www.poewiki.net/wiki/Badge_of_the_Brotherhood,,,,,,,,N/A,,,
Balefire,5,T5,,Mace,"Opal Sceptre",,2x3,,0,,,,https://poedb.tw/us/Balefire,https://www.poewiki.net/wiki/Balefire,,,,,,,,N/A,,,
"Bated Breath",5,T5,,Belt,"Chain Belt",,2x1,,0,,,,https://poedb.tw/us/Bated_Breath,https://www.poewiki.net/wiki/Bated_Breath,,,,,,,,N/A,,,
"Beacon of Madness",2,T2,Chaos,Boots,"Two-Toned Boots",,2x2,,0,,,,https://poedb.tw/us/Beacon_of_Madness,https://www.poewiki.net/wiki/Beacon_of_Madness,,,,,,,,N/A,,,
"Beacon of Madness",2,T2,"Double Damage",Boots,"Two-Toned Boots",,2x2,,0,,,,https://poedb.tw/us/Beacon_of_Madness,https://www.poewiki.net/wiki/Beacon_of_Madness,,,,,,,,N/A,,,
"Beacon of Madness",2,T2,Elemental,Boots,"Two-Toned Boots",,2x2,,0,,,,https://poedb.tw/us/Beacon_of_Madness,https://www.poewiki.net/wiki/Beacon_of_Madness,,,,,,,,N/A,,,
"Bear's Girdle",,League,,Belt,"Leather Belt",,2x1,,0,,,,https://poedb.tw/us/Bears_Girdle,https://www.poewiki.net/wiki/Bear%27s_Girdle,,,,,,,,N/A,,,
"Belly of the Beast",3,T3,,"Body Armour","Full Wyrmscale",,2x3,,0,,,,https://poedb.tw/us/Belly_of_the_Beast,https://www.poewiki.net/wiki/Belly_of_the_Beast,,,,,,,,N/A,,,
"Belt of the Deceiver",4,T4,,Belt,"Heavy Belt",,2x1,,0,,,,https://poedb.tw/us/Belt_of_the_Deceiver,https://www.poewiki.net/wiki/Belt_of_the_Deceiver,,,,,,,,N/A,,,
"Beltimber Blade",3,T3,,Sword,"Eternal Sword",,2x3,,0,,,,https://poedb.tw/us/Beltimber_Blade,https://www.poewiki.net/wiki/Beltimber_Blade,,,,,,,,N/A,,,
"Berek's Grip",4,T4,,Ring,"Two-Stone Ring",,1x1,,0,,,,https://poedb.tw/us/Bereks_Grip,https://www.poewiki.net/wiki/Berek%27s_Grip,,,,,,,,N/A,,,
"Berek's Pass",4,T4,,Ring,"Two-Stone Ring",,1x1,,0,,,,https://poedb.tw/us/Bereks_Pass,https://www.poewiki.net/wiki/Berek%27s_Pass,,,,,,,,N/A,,,
"Berek's Respite",3,T3,,Ring,"Two-Stone Ring",,1x1,,0,,,,https://poedb.tw/us/Bereks_Respite,https://www.poewiki.net/wiki/Berek%27s_Respite,,,,,,,,N/A,,,
"Bino's Kitchen Knife",0,T0,,Dagger,"Slaughter Knife",,1x3,,0,,,,https://poedb.tw/us/Binos_Kitchen_Knife,https://www.poewiki.net/wiki/Bino%27s_Kitchen_Knife,,,,,,,,N/A,,,
"Bisco's Collar",3,T3,,Amulet,"Gold Amulet",,1x1,,0,,,,https://poedb.tw/us/Biscos_Collar,https://www.poewiki.net/wiki/Bisco%27s_Collar,,,,,,,,N/A,,,
"Bisco's Leash",3,T3,,Belt,"Heavy Belt",,2x1,,0,,,,https://poedb.tw/us/Biscos_Leash,https://www.poewiki.net/wiki/Bisco%27s_Leash,,,,,,,,N/A,,,
"Bitterbind Point",,League,,Shield,"Titanium Spirit Shield",,2x2,,0,,,,https://poedb.tw/us/Bitterbind_Point,https://www.poewiki.net/wiki/Bitterbind_Point,,,,,,,,N/A,,,
Bitterdream,3,T3,,Mace,"Shadow Sceptre",,2x3,,0,,,,https://poedb.tw/us/Bitterdream,https://www.poewiki.net/wiki/Bitterdream,,,,,,,,N/A,,,
"Black Sun Crest",5,T5,,Helmet,"Lacquered Helmet",,2x2,,0,,,,https://poedb.tw/us/Black_Sun_Crest,https://www.poewiki.net/wiki/Black_Sun_Crest,,,,,,,,N/A,,,
"Black Zenith",,Boss,,Gloves,"Fingerless Silk Gloves",,2x2,,0,,,,https://poedb.tw/us/Black_Zenith,https://www.poewiki.net/wiki/Black_Zenith,,,,,,,,N/A,,,
Blackflame,,League,,Ring,"Amethyst Ring",,1x1,,0,,,,https://poedb.tw/us/Blackflame,https://www.poewiki.net/wiki/Blackflame,,,,,,,,N/A,,,
Blackgleam,5,T5,,Quiver,"Blazing Arrow Quiver",,2x3,,0,,,,https://poedb.tw/us/Blackgleam,https://www.poewiki.net/wiki/Blackgleam,,,,,,,,N/A,,,
Blackheart,5,T5,,Ring,"Iron Ring",,1x1,,0,,,,https://poedb.tw/us/Blackheart,https://www.poewiki.net/wiki/Blackheart,,,,,,,,N/A,,,
"Blasphemer's Grasp",,Pinnacle,,Gloves,"Assassin's Mitts",elder,2x2,,0,,,,https://poedb.tw/us/Blasphemers_Grasp,https://www.poewiki.net/wiki/Blasphemer%27s_Grasp,,,,,,,,N/A,,,
Blightwell,4,T4,,Amulet,"Clutching Talisman",,1x1,,0,,,,https://poedb.tw/us/Blightwell,https://www.poewiki.net/wiki/Blightwell,,,,,,,,N/A,,,
"Blood of Corruption",,Vaal_Orb,,Amulet,"Amber Amulet",,1x1,,0,,,,https://poedb.tw/us/Blood_of_Corruption,https://www.poewiki.net/wiki/Blood_of_Corruption,,,,,,,,N/A,,,
"Blood of the Karui",4,T4,,Flask,"Sanctified Life Flask",,1x2,,0,,,,https://poedb.tw/us/Blood_of_the_Karui,https://www.poewiki.net/wiki/Blood_of_the_Karui,,,,,,,,N/A,,,
"Blood Price",3,T3,,Helmet,"Reaver Helmet",,2x2,,0,,,,https://poedb.tw/us/Blood_Price,https://www.poewiki.net/wiki/Blood_Price,,,,,,,,N/A,,,
Bloodbond,4,T4,,"Body Armour","Bone Armour",,2x3,,0,,,,https://poedb.tw/us/Bloodbond,https://www.poewiki.net/wiki/Bloodbond,,,,,,,,N/A,,,
Bloodgrip,5,T5,,Amulet,"Marble Amulet",,1x1,,0,,,,https://poedb.tw/us/Bloodgrip,https://www.poewiki.net/wiki/Bloodgrip,,,,,,,,N/A,,,
Bloodnotch,2,T2,,Jewel,"Crimson Jewel",,1x1,,0,,,,https://poedb.tw/us/Bloodnotch,https://www.poewiki.net/wiki/Bloodnotch,,,,,,,,N/A,,,
Bloodplay,5,T5,,Dagger,Stiletto,,1x3,,0,,,,https://poedb.tw/us/Bloodplay,https://www.poewiki.net/wiki/Bloodplay,,,,,,,,N/A,,,
Bloodseeker,0,T0,,Claw,"Hellion's Paw",,2x2,,0,,,,https://poedb.tw/us/Bloodseeker,https://www.poewiki.net/wiki/Bloodseeker,,,,,,,,N/A,,,
"Bloodsoaked Medallion",4,T4,,Amulet,"Amber Amulet",,1x1,,0,,,,https://poedb.tw/us/Bloodsoaked_Medallion,https://www.poewiki.net/wiki/Bloodsoaked_Medallion,,,,,,,,N/A,,,
Blunderbore,3,T3,,"Body Armour","Astral Plate",,2x3,,0,,,,https://poedb.tw/us/Blunderbore,https://www.poewiki.net/wiki/Blunderbore,,,,,,,,N/A,,,
"Bones of Ullr",5,T5,,Boots,"Silk Slippers",,2x2,,0,,,,https://poedb.tw/us/Bones_of_Ullr,https://www.poewiki.net/wiki/Bones_of_Ullr,,,,,,,,N/A,,,
"Bottled Faith",,League,,Flask,"Sulphur Flask",,1x2,,0,,,,https://poedb.tw/us/Bottled_Faith,https://www.poewiki.net/wiki/Bottled_Faith,,,,,,,,N/A,,,
"Bound Fate",3,T3,,Belt,"Cloth Belt",,2x1,,0,,,,https://poedb.tw/us/Bound_Fate,https://www.poewiki.net/wiki/Bound_Fate,,,,,,,,N/A,,,
"Brain Rattler",3,T3,,Mace,Meatgrinder,,2x4,,0,,,,https://poedb.tw/us/Brain_Rattler,https://www.poewiki.net/wiki/Brain_Rattler,,,,,,,,N/A,,,
Bramblejack,4,T4,,"Body Armour","Plate Vest",,2x3,,0,,,,https://poedb.tw/us/Bramblejack,https://www.poewiki.net/wiki/Bramblejack,,,,,,,,N/A,,,
"Breath of the Council",4,T4,,Mace,"Carnal Sceptre",,2x3,,0,,,,https://poedb.tw/us/Breath_of_the_Council,https://www.poewiki.net/wiki/Breath_of_the_Council,,,,,,,,N/A,,,
Breathstealer,,League,,Gloves,"Hydrascale Gauntlets",,2x2,,0,,,,https://poedb.tw/us/Breathstealer,https://www.poewiki.net/wiki/Breathstealer,,,,,,,,N/A,,,
Brightbeak,5,T5,,Mace,"War Hammer",,2x3,,0,,,,https://poedb.tw/us/Brightbeak,https://www.poewiki.net/wiki/Brightbeak,,,,,,,,N/A,,,
"Brinerot Flag",,League,,Shield,"Tarnished Spirit Shield",,2x2,,0,,,,https://poedb.tw/us/Brinerot_Flag,https://www.poewiki.net/wiki/Brinerot_Flag,,,,,,,,N/A,,,
"Brinerot Mark",,League,,Ring,"Unset Ring",,1x1,,0,,,,https://poedb.tw/us/Brinerot_Mark,https://www.poewiki.net/wiki/Brinerot_Mark,,,,,,,,N/A,,,
"Brinerot Whalers",,League,,Boots,"Trapper Boots",,2x2,,0,,,,https://poedb.tw/us/Brinerot_Whalers,https://www.poewiki.net/wiki/Brinerot_Whalers,,,,,,,,N/A,,,
Briskwrap,5,T5,,"Body Armour","Sun Leather",,2x3,,0,,,,https://poedb.tw/us/Briskwrap,https://www.poewiki.net/wiki/Briskwrap,,,,,,,,N/A,,,
"Broken Faith",,League,,Shield,"Archon Kite Shield",,2x3,,0,,,,https://poedb.tw/us/Broken_Faith,https://www.poewiki.net/wiki/Broken_Faith,,,,,,,,N/A,,,
"Bronn's Lithe",4,T4,,"Body Armour","Cutthroat's Garb",,2x3,,0,,,,https://poedb.tw/us/Bronns_Lithe,https://www.poewiki.net/wiki/Bronn%27s_Lithe,,,,,,,,N/A,,,
"Brutal Restraint",,League,,Jewel,"Timeless Jewel",,1x1,,0,,,,https://poedb.tw/us/Brutal_Restraint,https://www.poewiki.net/wiki/Brutal_Restraint,,,,,,,,N/A,,,
"Brute Force Solution",4,Vaal_Orb,,Jewel,"Cobalt Jewel",,1x1,,0,,,,https://poedb.tw/us/Brute_Force_Solution,https://www.poewiki.net/wiki/Brute_Force_Solution,,,,,,,,N/A,,,
"Brutus' Lead Sprinkler",3,T3,,Mace,"Ritual Sceptre",,2x3,,0,,,,https://poedb.tw/us/Brutus_Lead_Sprinkler,https://www.poewiki.net/wiki/Brutus%27_Lead_Sprinkler,,,,,,,,N/A,,,
"Bubonic Trail",,League,,Boots,"Murder Boots",,2x2,,0,,,,https://poedb.tw/us/Bubonic_Trail,https://www.poewiki.net/wiki/Bubonic_Trail,,,,,,,,N/A,,,
"Cadigan's Crown",,League,,Helmet,"Runic Crown",,2x2,,0,,,,https://poedb.tw/us/Cadigans_Crown,https://www.poewiki.net/wiki/Cadigan%27s_Crown,,,,,,,,N/A,,,
"Caer Blaidd, Wolfpack's Den",4,T4,,Map,"Underground River Map",,1x1,,0,,,,https://poedb.tw/us/Caer_Blaidd%2C_Wolfpacks_Den,"https://www.poewiki.net/wiki/Caer_Blaidd,_Wolfpack%27s_Den",,,,,,,,N/A,,,
"Calamitous Visions",,League,,Jewel,"Small Cluster Jewel",,1x1,,0,,,,https://poedb.tw/us/Calamitous_Visions,https://www.poewiki.net/wiki/Calamitous_Visions,,,,,,,,N/A,,,
"Call of the Brotherhood",3,T3,,Ring,"Two-Stone Ring",,1x1,,0,,,,https://poedb.tw/us/Call_of_the_Brotherhood,https://www.poewiki.net/wiki/Call_of_the_Brotherhood,,,,,,,,N/A,,,
"Call of the Void",,Pinnacle,,Ring,"Sapphire Ring",eldershaper,1x1,,0,,,,https://poedb.tw/us/Call_of_the_Void,https://www.poewiki.net/wiki/Call_of_the_Void,,,,,,,,N/A,,,
"Callinellus Malleus",5,T5,,Mace,"Auric Mace",,2x3,,0,,,,https://poedb.tw/us/Callinellus_Malleus,https://www.poewiki.net/wiki/Callinellus_Malleus,,,,,,,,N/A,,,
"Cameria's Avarice",,Recipe,,Mace,Gavel,,2x3,,0,,,,https://poedb.tw/us/Camerias_Avarice,https://www.poewiki.net/wiki/Cameria%27s_Avarice,,,,,,,,N/A,,,
"Cameria's Maul",5,T5,,Mace,Gavel,,2x3,,0,,,,https://poedb.tw/us/Camerias_Maul,https://www.poewiki.net/wiki/Cameria%27s_Maul,,,,,,,,N/A,,,
"Cane of Kulemak",,League,,Staff,"Serpentine Staff",veiled,2x4,,0,,,,https://poedb.tw/us/Cane_of_Kulemak,https://www.poewiki.net/wiki/Cane_of_Kulemak,,,,,,,,N/A,,,
"Cane of Unravelling",4,T4,,Staff,"Ezomyte Staff",,2x4,,0,,,,https://poedb.tw/us/Cane_of_Unravelling,https://www.poewiki.net/wiki/Cane_of_Unravelling,,,,,,,,N/A,,,
"Carcass Jack",3,T3,,"Body Armour","Varnished Coat",,2x3,,0,,,,https://poedb.tw/us/Carcass_Jack,https://www.poewiki.net/wiki/Carcass_Jack,,,,,,,,N/A,,,
"Careful Planning",4,Vaal_Orb,,Jewel,"Viridian Jewel",,1x1,,0,,,,https://poedb.tw/us/Careful_Planning,https://www.poewiki.net/wiki/Careful_Planning,,,,,,,,N/A,,,
